Type,Class,Month,Year,Price
Indian,Class B,March,2014,79
Indian,Class B,April,2014,79
Indian,Class B,May,2014,76
Indian,Class B,June,2014,84.25
Indian,Class B,July,2014,106.5
Indian,Class B,August,2014,112
Indian,Class B,September,2014,112
Indian,Class B,October,2014,129.25
Indian,Class B,November,2014,112
Indian,Class B,December,2014,112
Indian,Class B,January,2015,109.25
Indian,Class B,February,2015,109.25
Indian,Class B,March,2015,109.25
Indian,Class B,April,2015,87.25
Indian,Class B,May,2015,73.25
Indian,Class B,June,2015,56
Indian,Class B,July,2015,73.25
Indian,Class B,August,2015,123.75
Indian,Class B,September,2015,135
Indian,Class B,October,2015,159.75
Indian,Class B,November,2015,135
Indian,Class B,December,2015,135
Indian,Class B,January,2016,185.25
Indian,Class B,February,2016,123.75
Indian,Class B,March,2016,123.75
Indian,Class B,April,2016,126.5
Indian,Class B,May,2016,98.25
Indian,Class B,June,2016,98.25
Indian,Class B,July,2016,109.25
Indian,Class B,August,2016,159.75
Indian,Class B,September,2016,193.5
Indian,Class B,October,2016,219.25
Indian,Class B,November,2016,202.5
Indian,Class B,December,2016,185.25
Indian,Class B,January,2017,176.75
Indian,Class B,February,2017,112
Indian,Class B,March,2017,163
Indian,Class B,April,2017,129.25
Indian,Class B,May,2017,140.75
Indian,Class B,June,2017,101
Indian,Class B,July,2017,128
Indian,Class B,August,2017,135
Indian,Class B,September,2017,159.75
Indian,Class B,October,2017,151.5
Indian,Class B,November,2017,185.25
Indian,Class B,December,2017,190.75
Indian,Class B,January,2018,213.75
Indian,Class B,February,2018,238.75
Indian,Class B,March,2018,213.75
Indian,Class B,April,2018,135
Indian,Class B,May,2018,135
Indian,Class B,June,2018,121
Indian,Class B,July,2018,121
Indian,Class B,August,2018,121
Indian,Class B,September,2018,121
Indian,Class B,October,2018,171.5
Indian,Class B,November,2018,193.5
Indian,Class B,December,2018,171.5
Indian,Class B,January,2019,168.75
Indian,Class B,February,2019,151.5
Indian,Class B,March,2019,143.25
Indian,Class B,April,2019,151.5
Indian,Class B,May,2019,129.25
Indian,Class B,June,2019,106.5
Indian,Class B,July,2019,230.5
Indian,Class B,August,2019,250.25
Indian,Class B,September,2019,267
Indian,Class B,October,2019,210.75
Indian,Class B,November,2019,216.5
Indian,Class B,December,2019,177
Indian,Class B,January,2020,177
Indian,Class B,February,2020,168
Indian,Class B,March,2020,177
Indian,Class B,April,2020,180
Indian,Class B,May,2020,175.5
Indian,Class B,June,2020,129.25
Indian,Class B,July,2020,154.25
Indian,Class B,August,2020,169.75
Indian,Class B,September,2020,193.5
Indian,Class B,October,2020,193.5
Indian,Class B,November,2020,168
Indian,Class B,December,2020,185.75
Indian,Class B,January,2021,309
Indian,Class B,February,2021,213.75
Indian,Class B,March,2021,185.25
Indian,Class B,April,2021,172.5
Indian,Class B,May,2021,174.25
Indian,Class B,June,2021,123.25
Indian,Class B,July,2021,177
Indian,Class B,August,2021,202
Indian,Class B,September,2021,202
Indian,Class B,October,2021,202
Indian,Class B,November,2021,216.5
Indian,Class B,December,2021,202
Indian,Class B,January,2022,202
Indian,Class B,February,2022,202
Indian,Class B,March,2022,165.25
Indian,Class B,April,2022,151.5
Indian,Class B,May,2022,143.25
Indian,Class B,June,2022,185.25
Indian,Class B,July,2022,225
Indian,Class B,August,2022,225
Indian,Class B,September,2022,225
Indian,Class B,October,2022,235.75
Indian,Class B,November,2022,202
Indian,Class B,December,2022,202
Indian,Class B,January,2023,202
Indian,Class B,February,2023,202
Indian,Class B,March,2023,219.25
Indian,Class B,April,2023,202
Indian,Class B,May,2023,185.25
Indian,Class B,June,2023,177
Indian,Class B,July,2023,213.75
